RName,FName,FWidth,RAddr,RWidth,Offset,FAccess,FReadSideEffect,FDefault,FDefaultType,FVisibility,RArray
RWBLECNTL,RXWINSZDEF,4,00,32,0,R/W,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,RWBLE_EN,1,00,32,8,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,ADVERTFILT_EN,1,00,32,9,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,ANONYMOUS_ADV_FILT_EN,1,00,32,10,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,RXCTEERR_RETX_EN,1,00,32,11,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,HOP_REMAP_DSB,1,00,32,12,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,CRC_DSB,1,00,32,13,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,WHIT_DSB,1,00,32,14,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,LRFEC_DSB,1,00,32,15,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,LRPMAP_DSB,1,00,32,16,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,CRYPT_DSB,1,00,32,17,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,NESN_DSB,1,00,32,18,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,SN_DSB,1,00,32,19,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,MD_DSB,1,00,32,20,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,NPI_DSB,1,00,32,21,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,CIE_DSB,1,00,32,22,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,SCAN_ABORT,1,00,32,24,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,ADVERT_ABORT,1,00,32,25,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,RFTEST_ABORT,1,00,32,26,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECNTL,SWINT_REQ,1,00,32,27,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWBLECNTL,RADIOCNTL_SOFT_RST,1,00,32,28,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWBLECNTL,REG_SOFT_RST,1,00,32,29,R/W,None,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWBLECNTL,MASTER_TGSOFT_RST,1,00,32,30,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWBLECNTL,MASTER_SOFT_RST,1,00,32,31,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
VERSION,BUILD,8,04,32,0,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
VERSION,UPG,8,04,32,8,R,None,8'h12,Unknown,Public,"False;n;0;2;1;4"
VERSION,REL,8,04,32,16,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
VERSION,TYP,8,04,32,24,R,None,8'h0B,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,ADDR_WIDTH,5,08,32,0,R,None,5'h10,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,BUS_TYPE,1,08,32,6,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,INTMODE,1,08,32,7,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,CLK_SEL,6,08,32,8,R,None,6'h20,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,DECIPHER,1,08,32,14,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,USEDBG,1,08,32,15,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,RFIF,7,08,32,16,R,None,7'h40,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,USEISO,1,08,32,24,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,USETXLR,1,08,32,26,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,USERXLR,1,08,32,27,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,CORRELATOR,1,08,32,28,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,WLANCOEX,1,08,32,29,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,DF,1,08,32,30,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBLECONF,DMMODE,1,08,32,31,R,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,STARTEVTINTMSK,1,0C,32,0,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,ENDEVTINTMSK,1,0C,32,1,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,SKIPEVTINTMSK,1,0C,32,2,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,TXINTMSK,1,0C,32,3,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,RXINTMSK,1,0C,32,4,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,ISOTXINTMSK,1,0C,32,5,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,ISORXINTMSK,1,0C,32,6,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,HOPINTMSK,1,0C,32,7,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,ERRORINTMSK,1,0C,32,16,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT0,HOPINTSTAT,1,10,32,7,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT0,ERRORINTSTAT,1,10,32,16,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK0,HOPINTACK,1,14,32,7,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK0,ERRORINTACK,1,14,32,16,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CLKNINTMSK,1,18,32,0,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,SLPINTMSK,1,18,32,1,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CRYPTINTMSK,1,18,32,2,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,SWINTMSK,1,18,32,3,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,FINETGTINTMSK,1,18,32,4,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,TIMESTAMPTGT1INTMSK,1,18,32,5,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,TIMESTAMPTGT2INTMSK,1,18,32,6,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,TIMESTAMPTGT3INTMSK,1,18,32,7,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,FIFOINTMSK,1,18,32,15,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CLKNINTSRVAL,4,18,32,24,R/W,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CLKNINTSRMSK,3,18,32,28,R/W,None,3'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,CLKNINTSTAT,1,1C,32,0,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,SLPINTSTAT,1,1C,32,1,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,CRYPTINTSTAT,1,1C,32,2,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,SWINTSTAT,1,1C,32,3,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,FINETGTINTSTAT,1,1C,32,4,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,TIMESTAMPTGT1INTSTAT,1,1C,32,5,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,TIMESTAMPTGT2INTSTAT,1,1C,32,6,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,TIMESTAMPTGT3INTSTAT,1,1C,32,7,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,FIFOINTSTAT,1,1C,32,15,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,CLKNINTACK,1,20,32,0,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,SLPINTACK,1,20,32,1,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,CRYPTINTACK,1,20,32,2,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,SWINTACK,1,20,32,3,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,FINETGTINTACK,1,20,32,4,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,TIMESTAMPTGT1INTACK,1,20,32,5,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,TIMESTAMPTGT2INTACK,1,20,32,6,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,TIMESTAMPTGT3INTACK,1,20,32,7,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,FIFOINTACK,1,20,32,15,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,STARTACTINTSTAT,1,24,32,0,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ENDACTINTSTAT,1,24,32,1,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,SKIPACTINTSTAT,1,24,32,2,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,TXINTSTAT,1,24,32,3,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,RXINTSTAT,1,24,32,4,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ISOTXINTSTAT,1,24,32,5,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ISORXINTSTAT,1,24,32,6,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ACTFLAG,1,24,32,15,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,CURRENT_ET_IDX,4,24,32,24,R,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,SKIP_ET_IDX,4,24,32,28,R,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
CURRENTRXDESCPTR,CURRENTRXDESCPTR,14,28,32,0,R/W,None,14'h0000,Unknown,Public,"False;n;0;2;1;4"
ETPTR,ETPTR,14,2C,32,0,R/W,None,14'h0000,Unknown,Public,"False;n;0;2;1;4"
DEEPSLCNTL,OSC_SLEEP_EN,1,30,32,0,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DEEPSLCNTL,RADIO_SLEEP_EN,1,30,32,1,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DEEPSLCNTL,DEEP_SLEEP_ON,1,30,32,2,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
DEEPSLCNTL,DEEP_SLEEP_CORR_EN,1,30,32,3,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
DEEPSLCNTL,DEEP_SLEEP_STAT,1,30,32,15,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DEEPSLCNTL,EXTWKUPDSB,1,30,32,31,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DEEPSLWKUP,DEEPSLTIME,32,34,32,0,R/W,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
DEEPSLSTAT,DEEPSLDUR,32,38,32,0,R,None,32'h00000000,Unknown,Public,"False;n;0;2;1;4"
ENBPRESET,TWRM,10,3C,32,0,R/W,None,10'h000,Unknown,Public,"False;n;0;2;1;4"
ENBPRESET,TWOSC,11,3C,32,10,R/W,None,11'h000,Unknown,Public,"False;n;0;2;1;4"
ENBPRESET,TWEXT,11,3C,32,21,R/W,None,11'h000,Unknown,Public,"False;n;0;2;1;4"
FINECNTCORR,FINECNTCORR,10,40,32,0,R/W,None,10'h000,Unknown,Public,"False;n;0;2;1;4"
CLKNCNTCORR,CLKNCNTCORR,28,44,32,0,R/W,None,28'h0000000,Unknown,Public,"False;n;0;2;1;4"
CLKNCNTCORR,ABS_DELTA,1,44,32,31,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG0,7,50,32,0,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG0_EN,1,50,32,7,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG1,7,50,32,8,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG1_EN,1,50,32,15,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG2,7,50,32,16,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG2_EN,1,50,32,23,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG3,7,50,32,24,R/W,None,7'h00,Unknown,Public,"False;n;0;2;1;4"
DIAGCNTL,DIAG3_EN,1,50,32,31,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
DIAGSTAT,DIAG0STAT,8,54,32,0,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
DIAGSTAT,DIAG1STAT,8,54,32,8,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
DIAGSTAT,DIAG2STAT,8,54,32,16,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
DIAGSTAT,DIAG3STAT,8,54,32,24,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
DEBUGADDMAX,EM_ADDMAX,16,58,32,0,R/W,None,16'h0000,Unknown,Public,"False;n;0;2;1;4"
DEBUGADDMAX,REG_ADDMAX,16,58,32,16,R/W,None,16'h0000,Unknown,Public,"False;n;0;2;1;4"
DEBUGADDMIN,EM_ADDMIN,16,5C,32,0,R/W,None,16'h0000,Unknown,Public,"False;n;0;2;1;4"
DEBUGADDMIN,REG_ADDMIN,16,5C,32,16,R/W,None,16'h0000,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,TXCRYPT_ERROR,1,60,32,0,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,RXCRYPT_ERROR,1,60,32,1,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,PKTCNTL_EMACC_ERROR,1,60,32,2,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,RADIO_EMACC_ERROR,1,60,32,3,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,ACT_SCHDL_ENTRY_ERROR,1,60,32,4,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,ACT_SCHDL_APFM_ERROR,1,60,32,5,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,EVT_CNTL_APFM_ERROR,1,60,32,6,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,LIST_ERROR,1,60,32,7,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,IFS_UNDERRUN,1,60,32,8,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,ADV_UNDERRUN,1,60,32,9,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,LLCHMAP_ERROR,1,60,32,10,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,CSFORMAT_ERROR,1,60,32,11,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,TXDESC_EMPTY_ERROR,1,60,32,12,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,RXDESC_EMPTY_ERROR,1,60,32,13,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,TXDATA_PTR_ERROR,1,60,32,14,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,RXDATA_PTR_ERROR,1,60,32,15,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,RAL_ERROR,1,60,32,16,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,RAL_UNDERRUN,1,60,32,17,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,TMAFS_UNDERRUN,1,60,32,18,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,TXAEHEADER_PTR_ERROR,1,60,32,19,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,PHY_ERROR,1,60,32,20,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,FIFOINTOVF,1,60,32,21,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,DFCNTL_EMACC_ERROR,1,60,32,22,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ERRORTYPESTAT,FREQSEL_ERROR,1,60,32,23,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF0,1,64,32,0,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
SWPROFILING,SWPROF1,1,64,32,1,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
