RName,FName,FWidth,RAddr,RWidth,Offset,FAccess,FReadSideEffect,FDefault,FDefaultType,FVisibility,RArray
RWBTCNTL,NWINSIZE,6,00,32,0,R/W,None,6'h0B,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,RWBTEN,1,00,32,8,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,CX_DNABORT,1,00,32,9,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,CX_RXBSYENA,1,00,32,10,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,CX_TXBSYENA,1,00,32,11,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,SEQNDSB,1,00,32,12,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,ARQNDSB,1,00,32,13,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,FLOWDSB,1,00,32,14,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,HOPDSB,1,00,32,15,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,WHITDSB,1,00,32,16,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,CRCDSB,1,00,32,17,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,CRYPTDSB,1,00,32,18,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,LMPFLOWDSB,1,00,32,19,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,SNIFF_ABORT,1,00,32,20,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,PAGEINQ_ABORT,1,00,32,21,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,RFTEST_ABORT,1,00,32,22,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,SCAN_ABORT,1,00,32,23,R/W,Set,1'h0,Unknown,Public,"False;n;0;2;1;4"
RWBTCNTL,SWINT_REQ,1,00,32,27,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWBTCNTL,RADIOCNTL_SOFT_RST,1,00,32,28,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWBTCNTL,REG_SOFT_RST,1,00,32,29,R/W,None,1'h0,Unknown,Private,"False;n;0;2;1;4"
