RName,FName,FWidth,RAddr,RWidth,Offset,FAccess,FReadSideEffect,FDefault,FDefaultType,FVisibility,RArray
RWDMCNTL,SWINT_REQ,1,00,32,27,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWDMCNTL,RADIOCNTL_SOFT_RST,1,00,32,28,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWDMCNTL,REG_SOFT_RST,1,00,32,29,R/W,None,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWDMCNTL,MASTER_TGSOFT_RST,1,00,32,30,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
RWDMCNTL,MASTER_SOFT_RST,1,00,32,31,R/W,Set,1'h0,Unknown,Private,"False;n;0;2;1;4"
VERSION,BUILD,8,04,32,0,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
VERSION,UPG,8,04,32,8,R,None,8'h05,Unknown,Public,"False;n;0;2;1;4"
VERSION,REL,8,04,32,16,R,None,8'h00,Unknown,Public,"False;n;0;2;1;4"
VERSION,TYP,8,04,32,24,R,None,8'h0B,Unknown,Public,"False;n;0;2;1;4"
INTCNTL0,ERRORINTMSK,1,0C,32,16,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT0,ERRORINTSTAT,1,10,32,16,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK0,ERRORINTACK,1,14,32,16,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CLKNINTMSK,1,18,32,0,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,SLPINTMSK,1,18,32,1,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CRYPTINTMSK,1,18,32,2,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,SWINTMSK,1,18,32,3,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,FINETGTINTMSK,1,18,32,4,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,TIMESTAMPTGT1INTMSK,1,18,32,5,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,TIMESTAMPTGT2INTMSK,1,18,32,6,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,TIMESTAMPTGT3INTMSK,1,18,32,7,R/W,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,FIFOINTMSK,1,18,32,15,R/W,None,1'h1,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CLKNINTSRVAL,4,18,32,24,R/W,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
INTCNTL1,CLKNINTSRMSK,3,18,32,28,R/W,None,3'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,CLKNINTSTAT,1,1C,32,0,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,SLPINTSTAT,1,1C,32,1,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,CRYPTINTSTAT,1,1C,32,2,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,SWINTSTAT,1,1C,32,3,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,FINETGTINTSTAT,1,1C,32,4,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,TIMESTAMPTGT1INTSTAT,1,1C,32,5,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,TIMESTAMPTGT2INTSTAT,1,1C,32,6,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,TIMESTAMPTGT3INTSTAT,1,1C,32,7,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTSTAT1,FIFOINTSTAT,1,1C,32,15,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,CLKNINTACK,1,20,32,0,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,SLPINTACK,1,20,32,1,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,CRYPTINTACK,1,20,32,2,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,SWINTACK,1,20,32,3,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,FINETGTINTACK,1,20,32,4,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,TIMESTAMPTGT1INTACK,1,20,32,5,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,TIMESTAMPTGT2INTACK,1,20,32,6,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,TIMESTAMPTGT3INTACK,1,20,32,7,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
INTACK1,FIFOINTACK,1,20,32,15,R/W,Clear,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,STARTACTINTSTAT,1,24,32,0,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ENDACTINTSTAT,1,24,32,1,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,SKIPACTINTSTAT,1,24,32,2,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,TXINTSTAT,1,24,32,3,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,RXINTSTAT,1,24,32,4,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ISOTXINTSTAT,1,24,32,5,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ISORXINTSTAT,1,24,32,6,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,ACTFLAG,1,24,32,15,R,None,1'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,CURRENT_ET_IDX,4,24,32,24,R,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
ACTFIFOSTAT,SKIP_ET_IDX,4,24,32,28,R,None,4'h0,Unknown,Public,"False;n;0;2;1;4"
ETPTR,ETPTR,14,2C,32,0,R/W,None,14'h0000,Unknown,Public,"False;n;0;2;1;4"
